"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"65",229,26,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,6,0
"66",230,8,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,2,0
"67",301,8398,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,1868,0.1
"68",302,4860,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,1081,0.1
"69",303,50194,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,11163,0.7
"70",304,537,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,119,0
"71",305,3108,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,691,0
"72",306,20981,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,4666,0.3
"73",307,50359,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,11200,0.7
"74",308,111482,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,24793,1.5
"75",309,112821,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,25091,1.6
"76",310,191030,"Herb Height >= 1 meter",255,51,0,1,0.2,0,42484,2.7
